,Shot Number,Beam,Latitude,Longitude,Tandem-X DEM,Elevation (m),Canopy Elevation (m),Canopy Height (rh100),RH 98,RH 25,Quality Flag,Degrade Flag,Sensitivity
2653,4.126082020003778e+16,BEAM1000,-8.159259010619092,115.05077688796729,76.90323638916016,72.38966369628906,83.5538101196289,11.15999984741211,9.699999809265137,-0.10999999940395355,1.0,0.0,0.9716821908950806
2654,4.126082040003778e+16,BEAM1000,-8.158838917151813,115.05108124471754,76.90323638916016,71.46255493164062,81.65264892578125,10.1899995803833,7.449999809265137,-1.0099999904632568,1.0,0.0,0.974399983882904
2655,4.126082060003778e+16,BEAM1000,-8.15842028579122,115.05138618142803,81.33834075927734,77.76004028320312,87.8377456665039,10.069999694824219,8.270000457763672,-1.0800000429153442,1.0,0.0,0.9762585163116455
2656,4.126082080003778e+16,BEAM1000,-8.158000820507366,115.05169075822525,81.33834075927734,79.69517517089844,93.70655822753906,14.010000228881836,12.020000457763672,-0.10999999940395355,1.0,0.0,0.9727620482444763
2657,4.126082100003778e+16,BEAM1000,-8.157580012981532,115.05199476486395,79.60151672363281,74.6991195678711,87.39927673339844,12.699999809265137,10.520000457763672,-0.5600000023841858,1.0,0.0,0.9740605354309082
2658,4.1260821200037784e+16,BEAM1000,-8.157159612739521,115.0522989155266,69.96510314941406,71.60597229003906,83.33207702636719,11.720000267028809,9.100000381469727,-0.7099999785423279,1.0,0.0,0.972418487071991
2659,4.1260821400037784e+16,BEAM1000,-8.15673848584598,115.05260274502415,69.30011749267578,64.69214630126953,87.61986541748047,22.920000076293945,20.489999771118164,2.5399999618530273,1.0,0.0,0.9750493764877319
2660,4.1260821600037784e+16,BEAM1000,-8.156317895171265,115.05290676825354,69.30011749267578,60.33359909057617,70.78594207763672,10.449999809265137,8.239999771118164,-1.5299999713897705,1.0,0.0,0.968311071395874
2661,4.1260821800037784e+16,BEAM1000,-8.15589706773376,115.05321066824008,60.74736785888672,54.632240295410156,71.5283203125,16.889999389648438,14.680000305175781,0.0,1.0,0.0,0.9668092131614685
2662,4.1260822000037784e+16,BEAM1000,-8.155476913130546,115.05351481477273,60.74736785888672,52.17782211303711,70.64736938476562,18.459999084472656,15.800000190734863,-0.14000000059604645,1.0,0.0,0.9750043749809265
2663,4.1260822200037784e+16,BEAM1000,-8.155057729980038,115.05381932851141,55.31816864013672,54.4785270690918,69.80113983154297,15.319999694824219,12.989999771118164,-1.8300000429153442,1.0,0.0,0.9721421003341675
2664,4.1260822400037784e+16,BEAM1000,-8.15463750271581,115.05412338356771,55.31816864013672,51.360897064208984,74.85057067871094,23.479999542236328,21.389999389648438,2.240000009536743,1.0,0.0,0.9766767024993896
2665,4.126082260003779e+16,BEAM1000,-8.154217785408123,115.05442761425495,57.95809555053711,50.671451568603516,75.24756622314453,24.56999969482422,20.75,1.909999966621399,1.0,0.0,0.9783258438110352
